Año de registro,Código de departamento,habitantes,nacidos vivos,Defunciones totales,Defunciones de menores de 1 año,Defunciones neonatales,Defunciones de menores de 1 año posneonatales,Defunciones de 1 a 4 años,Defunciones de 5 a 14 años,Defunciones de 15 a 64 años,Defunciones de 65 años y más,Defunciones maternas,Código de provincia,Nombre de provincia,Código de departamentos/circ.elec.,Nombre de departamentos/comuna,Población total,Total de hogares,Latitud del centroide,Longitud del centroide,Superficie en km2
2005,02001,103260,1618,1186,7,5,2,2,0,200,977,0,02,Ciudad Autónoma de Buenos Aires,02001,Circunscripción electoral 1,90750,31352,-34.640026,-58.484564,6.967483443
2005,02002,89515,1637,933,22,14,8,6,7,235,662,1,02,Ciudad Autónoma de Buenos Aires,02002,Circunscripción electoral 2,78766,24688,-34.64579,-58.402711,8.014382736
2005,02003,71911,1073,865,6,2,4,1,4,184,669,0,02,Ciudad Autónoma de Buenos Aires,02003,Circunscripción electoral 3,64937,22258,-34.639791,-58.38144,5.9611436444128
2005,02004,55977,1119,557,8,4,4,1,3,140,404,0,02,Ciudad Autónoma de Buenos Aires,02004,Circunscripción electoral 4,52359,17631,-34.638458,-58.364844,3.8616887479195
2005,02005,168544,2394,2001,17,10,7,2,5,301,1676,0,02,Ciudad Autónoma de Buenos Aires,02005,Circunscripción electoral 5,162109,59209,-34.627537,-58.459306,8.3810207961217
2005,02006,126860,1636,1433,7,4,3,3,2,212,1209,0,02,Ciudad Autónoma de Buenos Aires,02006,Circunscripción electoral 6,118950,46275,-34.624114,-58.428853,4.751177215
2005,02007,136178,1707,1494,11,6,5,1,3,213,1266,0,02,Ciudad Autónoma de Buenos Aires,02007,Circunscripción electoral 7,125490,51138,-34.609131,-58.432386,4.165769619
2005,02008,59578,888,697,4,3,1,1,3,128,561,0,02,Ciudad Autónoma de Buenos Aires,02008,Circunscripción electoral 8,56093,21357,-34.624313,-58.403743,2.5175541622953
2005,02009,94331,1458,1023,11,8,3,0,3,184,825,1,02,Ciudad Autónoma de Buenos Aires,02009,Circunscripción electoral 9,85109,34220,-34.608847,-58.411574,2.9043858381498
2005,02010,46445,696,534,5,3,2,1,1,103,424,0,02,Ciudad Autónoma de Buenos Aires,02010,Circunscripción electoral 10,41677,17759,-34.614056,-58.398499,1.1548881080818
2005,02011,50991,720,536,6,4,2,0,1,99,430,0,02,Ciudad Autónoma de Buenos Aires,02011,Circunscripción electoral 11,45474,19038,-34.6048,-58.399048,1.3459380898359
2005,02012,49619,779,595,5,2,3,1,2,118,469,0,02,Ciudad Autónoma de Buenos Aires,02012,Circunscripción electoral 12,43998,18033,-34.621907,-58.379259,2.1700988558088
2005,02013,48656,816,603,7,5,2,0,1,108,487,0,02,Ciudad Autónoma de Buenos Aires,02013,Circunscripción electoral 13,42902,18208,-34.612931,-58.379468,2.3916544723161
2005,02014,33739,483,438,4,4,0,1,1,92,340,0,02,Ciudad Autónoma de Buenos Aires,02014,Circunscripción electoral 14,28667,12623,-34.603668,-58.380514,2.289465547
2005,02015,121086,1545,1271,13,7,6,1,2,222,1033,0,02,Ciudad Autónoma de Buenos Aires,02015,Circunscripción electoral 15,110465,39417,-34.591973,-58.461396,8.7662620521999
2005,02016,132515,1851,1199,9,8,1,1,0,186,1001,0,02,Ciudad Autónoma de Buenos Aires,02016,Circunscripción electoral 16,115058,46462,-34.547206,-58.45379,9.7929471291428
2005,02017,192936,2455,1773,12,9,3,0,1,293,1466,0,02,Ciudad Autónoma de Buenos Aires,02017,Circunscripción electoral 17,174944,68522,-34.570012,-58.436924,12.514386090302
2005,02018,185637,2234,1767,16,12,4,4,3,300,1442,0,02,Ciudad Autónoma de Buenos Aires,02018,Circunscripción electoral 18,165679,68911,-34.583065,-58.420964,8.3977431984153
2005,02019,177126,1860,1675,12,7,5,0,1,241,1421,0,02,Ciudad Autónoma de Buenos Aires,02019,Circunscripción electoral 19,157392,68906,-34.589291,-58.401099,4.4717558548475
2005,02020,76357,1167,736,6,3,3,6,5,128,589,0,02,Ciudad Autónoma de Buenos Aires,02020,Circunscripción electoral 20,66406,25402,-34.58573,-58.379877,7.7668988286906
2005,02021,117618,1724,1512,23,16,7,2,4,261,1222,0,02,Ciudad Autónoma de Buenos Aires,02021,Circunscripción electoral 21,111944,38148,-34.652379,-58.508009,12.366438444105
2005,02022,183190,3459,1418,39,27,12,10,7,398,962,0,02,Ciudad Autónoma de Buenos Aires,02022,Circunscripción electoral 22,166244,47572,-34.675829,-58.466275,20.188374813984
2005,02023,140681,2678,1342,32,21,11,7,7,285,1011,0,02,Ciudad Autónoma de Buenos Aires,02023,Circunscripción electoral 23,129712,39256,-34.649126,-58.437232,12.924261769823
2005,02024,101406,1312,1156,10,9,1,1,3,223,919,0,02,Ciudad Autónoma de Buenos Aires,02024,Circunscripción electoral 24,94721,31839,-34.624041,-58.508346,7.9888184736193
2005,02025,108808,1219,1284,11,8,3,2,2,197,1071,1,02,Ciudad Autónoma de Buenos Aires,02025,Circunscripción electoral 25,100618,34326,-34.604921,-58.509871,8.6795145709869
2005,02026,119576,1666,1328,14,9,5,1,3,195,1114,0,02,Ciudad Autónoma de Buenos Aires,02026,Circunscripción electoral 26,119408,41668,-34.603391,-58.478512,9.0594592381649
2005,02027,92900,1135,1093,3,2,1,0,0,160,930,0,02,Ciudad Autónoma de Buenos Aires,02027,Circunscripción electoral 27,90382,31603,-34.577566,-58.49937,6.8405916869807
2005,02028,132662,1664,1345,18,14,4,1,2,205,1119,0,02,Ciudad Autónoma de Buenos Aires,02028,Circunscripción electoral 28,134995,48446,-34.55905,-58.481605,10.189423857772
2005,06007,16755,215,171,0,0,0,4,2,32,133,0,06,Buenos Aires,06007,Adolfo Alsina,16245,5441,-37.19715,-63.055734,5881.6016818426
2005,06014,12266,195,129,0,0,0,0,0,23,106,0,06,Buenos Aires,06014,Adolfo Gonzales Chaves,12037,3872,-37.964953,-60.248503,3787.3253021622
2005,06021,10521,157,129,6,3,3,0,1,17,105,0,06,Buenos Aires,06021,Alberti,10373,3429,-35.037399,-60.281935,1120.8296510606
2005,06028,549327,10034,3780,152,102,50,12,23,1103,2484,2,06,Buenos Aires,06028,Almirante Brown,515556,133787,-34.835652,-58.367491,129.09955004521
2005,06077,28348,448,268,5,5,0,0,2,47,214,0,06,Buenos Aires,06077,Bartolomé Mitre,27279,8400,-34.011969,-60.062255,1241.310341
2005,06035,342985,5989,3881,62,44,18,4,15,905,2893,1,06,Buenos Aires,06035,Avellaneda,327706,100539,-34.677494,-58.341212,57.205727694956
2005,06042,19919,352,201,4,3,1,0,1,44,152,0,06,Buenos Aires,06042,Ayacucho,19669,6175,-37.035506,-58.442178,6752.832617
2005,06049,64886,1106,606,11,8,3,0,1,133,460,0,06,Buenos Aires,06049,Azul,62996,19620,-36.786351,-59.696285,6531.6422961007
2005,06056,308669,4689,2726,58,38,20,7,12,572,2065,0,06,Buenos Aires,06056,Bahía Blanca,284776,88266,-38.584442,-62.169171,2282.9893890351
2005,06063,43585,624,374,2,2,0,1,0,73,298,0,06,Buenos Aires,06063,Balcarce,42039,12701,-37.71478,-58.271428,4124.2871550325
2005,06070,30664,571,351,8,5,3,1,1,88,253,0,06,Buenos Aires,06070,Baradero,29562,8809,-33.933493,-59.492828,1522.1592925498
2005,06084,20339,334,203,1,1,0,3,0,46,153,0,06,Buenos Aires,06084,Benito Juárez,19443,6239,-37.586587,-59.887536,5350.3389029415
2005,06091,307359,5675,1916,88,55,33,8,13,595,1207,2,06,Buenos Aires,06091,Berazategui,287913,75603,-34.817957,-58.1552,220.22247885529
2005,06098,84957,1552,677,24,18,6,4,2,170,476,0,06,Buenos Aires,06098,Berisso,80092,22712,-34.909179,-57.828346,145.46195609836
2005,06105,33223,453,370,6,5,1,1,1,67,294,0,06,Buenos Aires,06105,Bolívar,32442,10899,-36.298984,-61.149142,4932.4518586748
2005,06112,41577,694,462,4,1,3,2,2,85,369,0,06,Buenos Aires,06112,Bragado,40259,12666,-35.061673,-60.603935,2199.2662552269
2005,06119,23910,529,168,11,4,7,2,1,31,122,1,06,Buenos Aires,06119,Brandsen,22515,6765,-35.222502,-58.175607,1119.206656
2005,06126,90504,1805,612,15,11,4,3,5,188,399,0,06,Buenos Aires,06126,Campana,82208,22400,-34.138037,-58.882509,989.48596400721
2005,06134,46079,1021,311,16,11,5,4,3,89,199,0,06,Buenos Aires,06134,Cañuelas,42575,11473,-35.14544,-58.69045,1185.4820002929
2005,06140,13545,223,112,0,0,0,0,0,32,80,0,06,Buenos Aires,06140,Capitán Sarmiento,12854,3893,-34.150076,-59.854115,548.25864428049
2005,06147,21655,372,222,5,4,1,3,3,47,163,0,06,Buenos Aires,06147,Carlos Casares,21125,6795,-35.749876,-61.373289,2522.3602120298
2005,06154,11537,148,121,3,2,1,1,1,25,91,0,06,Buenos Aires,06154,Carlos Tejedor,11539,3657,-35.380143,-62.428925,3913.6989425506
2005,06161,14636,269,129,2,1,1,0,1,32,94,0,06,Buenos Aires,06161,Carmen de Areco,13992,4211,-34.407109,-59.883614,1061.9302621349
2005,06168,8177,128,90,3,2,1,0,0,17,70,0,06,Buenos Aires,06168,Castelli,7852,2459,-36.042066,-57.656424,2110.6650547708
2005,06175,24004,408,210,0,0,0,0,2,42,166,0,06,Buenos Aires,06175,Colón,23179,7085,-33.88634,-61.061845,994.58489649639
2005,06182,62703,1105,259,4,2,2,2,2,64,186,0,06,Buenos Aires,06182,Coronel de Marina Leonardo Rosales,60608,17125,-38.848345,-61.835418,1283.767066
