Año de registro,Código de departamento,habitantes,nacidos vivos,Defunciones totales,Defunciones de menores de 1 año,Defunciones neonatales,Defunciones de menores de 1 año posneonatales,Defunciones de 1 a 4 años,Defunciones de 5 a 14 años,Defunciones de 15 a 64 años,Defunciones de 15 a 24 años,Defunciones de 25 a 34 años,Defunciones de 35 a 44 años,Defunciones de 45 a 54 años,Defunciones de 55 a 64 años,Defunciones de 65 años y más,Defunciones de 65 a 74 años,Defunciones de 75 años y más,Defunciones maternas,Código de provincia,Nombre de provincia,Código de departamentos/comuna,Nombre de departamentos/comuna,Población total,Total de hogares,Latitud del centroide,Longitud del centroide,Superficie en km2
2018,02001,254408,2829,1880,18,10,8,5,3,410,26,36,61,85,202,1444,317,1127,1,02,Ciudad Autónoma de Buenos Aires,02001,Comuna 1,205886,84468,-34.606365,-58.371709,17.774343610998
2018,02002,149607,1598,1548,9,8,1,0,1,147,2,10,12,27,96,1391,239,1152,0,02,Ciudad Autónoma de Buenos Aires,02002,Comuna 2,157932,73156,-34.585876,-58.394997,6.2761484446208
2018,02003,192945,2184,1844,10,7,3,3,2,327,12,30,46,86,153,1502,328,1174,0,02,Ciudad Autónoma de Buenos Aires,02003,Comuna 3,187537,80489,-34.613826,-58.402686,6.3860399512473
2018,02004,239279,3314,2016,23,18,5,4,9,415,20,31,52,117,195,1565,395,1170,2,02,Ciudad Autónoma de Buenos Aires,02004,Comuna 4,218245,76455,-34.642292,-58.38886,21.694409834743
2018,02005,187159,1745,1808,6,3,3,4,1,261,6,18,35,57,145,1536,322,1214,0,02,Ciudad Autónoma de Buenos Aires,02005,Comuna 5,179005,76846,-34.617353,-58.420607,6.6597992407272
2018,02006,185067,1764,1776,12,11,1,0,1,223,4,14,23,59,123,1540,266,1274,0,02,Ciudad Autónoma de Buenos Aires,02006,Comuna 6,176076,75189,-34.616826,-58.443603,6.8509481740965
2018,02007,241065,2983,2129,12,10,2,7,8,387,15,22,50,91,209,1715,374,1341,1,02,Ciudad Autónoma de Buenos Aires,02007,Comuna 7,220591,81483,-34.63654,-58.451924,12.425128513625
2018,02008,227495,3138,1389,24,16,8,6,5,358,30,32,42,98,156,996,254,742,1,02,Ciudad Autónoma de Buenos Aires,02008,Comuna 8,187237,58204,-34.674505,-58.462084,22.301591470819
2018,02009,170842,1998,1724,20,16,4,3,5,287,7,20,37,75,148,1409,321,1088,1,02,Ciudad Autónoma de Buenos Aires,02009,Comuna 9,161797,56495,-34.651716,-58.499097,16.502346818172
2018,02010,170394,1632,1705,8,6,2,2,6,249,12,10,33,66,128,1440,306,1134,0,02,Ciudad Autónoma de Buenos Aires,02010,Comuna 10,166022,61453,-34.627828,-58.502834,12.639610477106
2018,02011,190016,1798,1925,7,5,2,3,1,245,5,9,23,62,146,1669,328,1341,1,02,Ciudad Autónoma de Buenos Aires,02011,Comuna 11,189832,71460,-34.606116,-58.496823,14.091316091303
2018,02012,214229,2293,1947,14,11,3,3,2,272,3,11,26,69,163,1656,320,1336,0,02,Ciudad Autónoma de Buenos Aires,02012,Comuna 12,200116,78547,-34.566312,-58.490417,15.56394525
2018,02013,236107,2449,2156,11,8,3,4,2,254,11,5,28,59,151,1885,309,1576,0,02,Ciudad Autónoma de Buenos Aires,02013,Comuna 13,231331,100506,-34.554661,-58.454147,14.578360412279
2018,02014,227003,2577,2086,10,5,5,1,1,276,10,13,30,60,163,1798,307,1491,0,02,Ciudad Autónoma de Buenos Aires,02014,Comuna 14,225970,102918,-34.573901,-58.422436,15.774189881943
2018,02015,182427,2112,1807,13,10,3,3,1,245,5,6,25,53,156,1545,294,1251,0,02,Ciudad Autónoma de Buenos Aires,02015,Comuna 15,182574,72465,-34.591865,-58.462809,14.322755759084
2018,06007,17433,195,158,2,1,1,0,0,28,1,0,4,9,14,128,32,96,0,06,Buenos Aires,06007,Adolfo Alsina,17072,6237,-37.19715,-63.055734,5881.6016818426
