Año de registro,Código de departamento,nacidos vivos,Habitantes,Defunciones totales,Defunciones de menores de 1 año,d_0_neonat,d_0_posnat,Defunciones de 1 a 4 años,Defunciones de 5 a 14 años,Defunciones de 15 a 64 años,Defunciones de 15 a 24 años,Defunciones de 25 a 34 años,Defunciones de 35 a 44 años,Defunciones de 45 a 54 años,Defunciones de 55 a 64 años,Defunciones de 65 años y más,Defunciones de 65 a 74 años,Defunciones de 75 años y más,Defunciones maternas,Código de provincia,Nombre de provincia,Código de departamentos/comuna,Nombre de departamentos/comuna,Población total,Total de hogares,Latitud del centroide,Longitud del centroide,Superficie en km2
2021,06007,157,17507,249,2,2,0,0,2,58,1,4,7,12,34,179,39,140,0,06,Buenos Aires,06007,Adolfo Alsina,17072,6237,-37.19715,-63.055734,5881.6016818426
2021,06014,136,11899,140,0,0,0,0,0,26,3,1,4,6,12,108,23,85,0,06,Buenos Aires,06014,Adolfo Gonzales Chaves,12047,4199,-37.964953,-60.248503,3787.3253021622
2021,06021,126,11018,137,1,0,1,0,0,20,1,1,4,3,11,115,24,91,0,06,Buenos Aires,06021,Alberti,10654,3828,-35.037399,-60.281935,1120.8296510606
2021,06028,6119,601618,5576,51,39,12,10,14,1657,61,91,196,429,880,3815,1350,2465,5,06,Buenos Aires,06028,Almirante Brown,552902,156918,-34.835652,-58.367491,129.09955004521
2021,06035,3915,357440,4533,32,23,9,5,6,1066,37,62,126,285,556,3407,1035,2372,2,06,Buenos Aires,06035,Avellaneda,342677,113142,-34.677494,-58.341212,57.205727694956
2021,06042,217,21364,264,1,1,0,0,0,52,2,3,6,15,26,211,45,166,0,06,Buenos Aires,06042,Ayacucho,20337,6967,-37.035506,-58.442178,6752.832617
2021,06049,639,67835,842,7,5,2,0,1,167,3,14,21,45,84,662,188,474,0,06,Buenos Aires,06049,Azul,65280,22020,-36.786351,-59.696285,6531.6422961007
2021,06056,3427,310639,3708,24,18,6,5,5,796,26,42,97,204,427,2867,702,2165,2,06,Buenos Aires,06056,Bahía Blanca,301572,105342,-38.584442,-62.169171,2282.9893890351
2021,06063,546,45829,545,9,7,2,0,4,114,0,5,7,27,75,418,104,314,1,06,Buenos Aires,06063,Balcarce,43823,14720,-37.71478,-58.271428,4124.2871550325
2021,06070,444,36649,437,4,3,1,0,2,111,5,10,16,26,54,320,85,235,0,06,Buenos Aires,06070,Baradero,32761,10416,-33.933493,-59.492828,1522.1592925498
2021,06077,411,31520,367,4,4,0,2,0,86,2,7,10,22,45,274,75,199,0,06,Buenos Aires,06077,Arrecifes,29044,9546,-34.011969,-60.062255,1241.310341
2021,06084,210,20542,247,3,2,1,0,1,52,0,2,11,8,31,191,36,155,0,06,Buenos Aires,06084,Benito Juárez,20239,6786,-37.586587,-59.887536,5350.3389029415
2021,06091,3397,369294,3355,34,22,12,5,11,933,39,59,121,239,475,2343,833,1510,1,06,Buenos Aires,06091,Berazategui,324244,93164,-34.817957,-58.1552,220.22247885529
2021,06098,992,97406,1080,11,9,2,2,1,321,12,16,56,81,156,744,250,494,1,06,Buenos Aires,06098,Berisso,88470,27449,-34.909179,-57.828346,145.46195609836
2021,06105,349,36108,572,2,2,0,0,0,107,2,10,11,29,55,463,108,355,0,06,Buenos Aires,06105,Bolívar,34190,12002,-36.298984,-61.149142,4932.4518586748
2021,06112,403,42184,621,3,3,0,3,0,129,2,9,20,25,73,484,121,363,2,06,Buenos Aires,06112,Bragado,41336,14291,-35.061673,-60.603935,2199.2662552269
2021,06119,312,31442,293,0,0,0,0,1,73,2,8,10,18,35,219,57,162,0,06,Buenos Aires,06119,Brandsen,26367,8324,-35.222502,-58.175607,1119.206656
2021,06126,1366,106522,971,18,12,6,3,6,277,19,25,30,81,122,663,228,435,0,06,Buenos Aires,06126,Campana,94461,28111,-34.138037,-58.882509,989.48596400721
2021,06134,811,63923,528,7,6,1,3,5,185,12,13,22,50,88,321,117,204,0,06,Buenos Aires,06134,Cañuelas,51892,15312,-35.14544,-58.69045,1185.4820002929
2021,06140,194,16553,189,1,0,1,0,0,45,0,3,7,8,27,143,31,112,0,06,Buenos Aires,06140,Capitán Sarmiento,14494,4672,-34.150076,-59.854115,548.25864428049
