Código de radio censal,Segmentos inundables,Segmentos en el radio,Población en hogares familiares,Porcentaje de segmentos inundables,Nivel de incidencia,Código de provincia,Nombre de provincia,Código de departamentos/dist.esc.,Nombre de departamentos/comuna,Código de radio,Nombre de radio,Población total,Total de hogares,Latitud del centroide,Longitud del centroide,Superficie en km2
020010710,59,67,3978,88,2,02,Ciudad Autónoma de Buenos Aires,02001,Distrito Escolar 1,020010710,,4037,1147,-34.581835,-58.383416,2.706028606
020040406,6,8,660,75,1,02,Ciudad Autónoma de Buenos Aires,02004,Distrito Escolar 4,020040406,,660,250,-34.628651,-58.362285,0.014452314469702
020040412,3,3,302,100,3,02,Ciudad Autónoma de Buenos Aires,02004,Distrito Escolar 4,020040412,,316,99,-34.631055,-58.359411,0.015540511861192
020070104,3,4,318,75,1,02,Ciudad Autónoma de Buenos Aires,02007,Distrito Escolar 7,020070104,,334,117,-34.604739,-58.460515,0.020724893422379
020070105,10,11,924,91,2,02,Ciudad Autónoma de Buenos Aires,02007,Distrito Escolar 7,020070105,,924,335,-34.606468,-58.460066,0.036400536510728
020070107,6,8,851,75,1,02,Ciudad Autónoma de Buenos Aires,02007,Distrito Escolar 7,020070107,,851,297,-34.608218,-58.46297,0.047682238524077
020070110,7,8,797,88,2,02,Ciudad Autónoma de Buenos Aires,02007,Distrito Escolar 7,020070110,,817,290,-34.607776,-58.459679,0.041608277827995
020070201,11,14,1020,79,1,02,Ciudad Autónoma de Buenos Aires,02007,Distrito Escolar 7,020070201,,1034,401,-34.605287,-58.458749,0.032005444557574
020070302,5,7,648,71,1,02,Ciudad Autónoma de Buenos Aires,02007,Distrito Escolar 7,020070302,,648,214,-34.601552,-58.45311,0.042610427838189
020070306,7,10,1066,70,1,02,Ciudad Autónoma de Buenos Aires,02007,Distrito Escolar 7,020070306,,1066,347,-34.603271,-58.451529,0.052722678281782
020070402,7,7,663,100,3,02,Ciudad Autónoma de Buenos Aires,02007,Distrito Escolar 7,020070402,,663,234,-34.599224,-58.44869,0.053588614883332
020070404,10,10,785,100,3,02,Ciudad Autónoma de Buenos Aires,02007,Distrito Escolar 7,020070404,,785,314,-34.595951,-58.445075,0.033313348828299
020070406,5,7,625,71,1,02,Ciudad Autónoma de Buenos Aires,02007,Distrito Escolar 7,020070406,,625,214,-34.598043,-58.445679,0.05072231036275
020071301,9,11,721,82,2,02,Ciudad Autónoma de Buenos Aires,02007,Distrito Escolar 7,020071301,,721,305,-34.606516,-58.429867,0.017939232852366
020071306,10,13,1080,77,1,02,Ciudad Autónoma de Buenos Aires,02007,Distrito Escolar 7,020071306,,1080,423,-34.609613,-58.427647,0.054421619967789
020090707,10,11,706,91,2,02,Ciudad Autónoma de Buenos Aires,02009,Distrito Escolar 9,020090707,,707,287,-34.564441,-58.438597,0.015655622997926
020090903,13,13,810,100,3,02,Ciudad Autónoma de Buenos Aires,02009,Distrito Escolar 9,020090903,,810,338,-34.569718,-58.432937,0.027828090441497
020091007,5,6,408,83,2,02,Ciudad Autónoma de Buenos Aires,02009,Distrito Escolar 9,020091007,,408,169,-34.575272,-58.432819,0.015910343341304
020091406,3,4,357,75,1,02,Ciudad Autónoma de Buenos Aires,02009,Distrito Escolar 9,020091406,,357,135,-34.58222,-58.437014,0.028708167269053
020091408,6,8,811,75,1,02,Ciudad Autónoma de Buenos Aires,02009,Distrito Escolar 9,020091408,,835,308,-34.58579,-58.438306,0.068853149616617
020091410,9,10,778,90,2,02,Ciudad Autónoma de Buenos Aires,02009,Distrito Escolar 9,020091410,,778,280,-34.584837,-58.43545,0.084640115712689
020091602,8,8,598,100,3,02,Ciudad Autónoma de Buenos Aires,02009,Distrito Escolar 9,020091602,,598,246,-34.593438,-58.441226,0.033187975746685
020091603,10,14,1173,71,1,02,Ciudad Autónoma de Buenos Aires,02009,Distrito Escolar 9,020091603,,1192,434,-34.591801,-58.438904,0.051953687006769
020091604,8,8,799,100,3,02,Ciudad Autónoma de Buenos Aires,02009,Distrito Escolar 9,020091604,,799,281,-34.59104,-58.436293,0.076088072895116
020091608,11,13,1101,85,2,02,Ciudad Autónoma de Buenos Aires,02009,Distrito Escolar 9,020091608,,1101,452,-34.595171,-58.441751,0.036781300581921
020091701,9,11,1109,82,2,02,Ciudad Autónoma de Buenos Aires,02009,Distrito Escolar 9,020091701,,1109,356,-34.587486,-58.4358,0.10441645266477
020091702,9,10,659,90,2,02,Ciudad Autónoma de Buenos Aires,02009,Distrito Escolar 9,020091702,,659,240,-34.584252,-58.43104,0.18203240755053
020091708,9,10,859,90,2,02,Ciudad Autónoma de Buenos Aires,02009,Distrito Escolar 9,020091708,,859,345,-34.588868,-58.435132,0.039772539286791
020091709,6,8,854,75,1,02,Ciudad Autónoma de Buenos Aires,02009,Distrito Escolar 9,020091709,,915,323,-34.59009,-58.434557,0.039501193672192
020091803,8,10,545,80,2,02,Ciudad Autónoma de Buenos Aires,02009,Distrito Escolar 9,020091803,,615,249,-34.581876,-58.426723,0.02914869956033
020091807,4,5,355,80,2,02,Ciudad Autónoma de Buenos Aires,02009,Distrito Escolar 9,020091807,,355,142,-34.581672,-58.424625,0.011507394681465
020100106,9,11,1717,82,2,02,Ciudad Autónoma de Buenos Aires,02010,Distrito Escolar 10,020100106,,1717,403,-34.548872,-58.486722,0.067602777927825
020100110,7,9,927,78,1,02,Ciudad Autónoma de Buenos Aires,02010,Distrito Escolar 10,020100110,,927,288,-34.550394,-58.483193,0.059539374554942
020100703,11,11,898,100,3,02,Ciudad Autónoma de Buenos Aires,02010,Distrito Escolar 10,020100703,,906,301,-34.552146,-58.478239,0.064166622309779
020101203,5,7,553,71,1,02,Ciudad Autónoma de Buenos Aires,02010,Distrito Escolar 10,020101203,,553,185,-34.549288,-58.452269,0.055525603112039
020101204,8,8,632,100,3,02,Ciudad Autónoma de Buenos Aires,02010,Distrito Escolar 10,020101204,,632,227,-34.55097,-58.451526,0.041886758701175
020101205,7,8,561,88,2,02,Ciudad Autónoma de Buenos Aires,02010,Distrito Escolar 10,020101205,,561,202,-34.551191,-58.449574,0.054220757315192
020101207,10,10,832,100,3,02,Ciudad Autónoma de Buenos Aires,02010,Distrito Escolar 10,020101207,,832,286,-34.55239,-58.446389,0.094835282348737
020101403,7,10,708,70,1,02,Ciudad Autónoma de Buenos Aires,02010,Distrito Escolar 10,020101403,,732,288,-34.555546,-58.456054,0.032861967992672
020101409,8,9,466,89,2,02,Ciudad Autónoma de Buenos Aires,02010,Distrito Escolar 10,020101409,,466,224,-34.558466,-58.459011,0.014344857757752
020101410,7,10,769,70,1,02,Ciudad Autónoma de Buenos Aires,02010,Distrito Escolar 10,020101410,,769,300,-34.557628,-58.457602,0.026585722897661
020101411,11,11,936,100,3,02,Ciudad Autónoma de Buenos Aires,02010,Distrito Escolar 10,020101411,,936,347,-34.557283,-58.455842,0.025790765702351
020101510,8,9,544,89,2,02,Ciudad Autónoma de Buenos Aires,02010,Distrito Escolar 10,020101510,,544,257,-34.560131,-58.461826,0.012988253121254
020101606,11,12,766,92,2,02,Ciudad Autónoma de Buenos Aires,02010,Distrito Escolar 10,020101606,,766,353,-34.561997,-58.460219,0.012662559611716
020101607,7,10,702,70,1,02,Ciudad Autónoma de Buenos Aires,02010,Distrito Escolar 10,020101607,,702,313,-34.562524,-58.461116,0.012607925904893
020101707,8,9,620,89,2,02,Ciudad Autónoma de Buenos Aires,02010,Distrito Escolar 10,020101707,,620,254,-34.563958,-58.465893,0.014838839793464
020101708,9,9,672,100,3,02,Ciudad Autónoma de Buenos Aires,02010,Distrito Escolar 10,020101708,,672,277,-34.563398,-58.464833,0.013825024391221
020101709,10,11,792,91,2,02,Ciudad Autónoma de Buenos Aires,02010,Distrito Escolar 10,020101709,,806,324,-34.56317,-58.46349,0.029685302586594
020101710,11,11,760,100,3,02,Ciudad Autónoma de Buenos Aires,02010,Distrito Escolar 10,020101710,,760,303,-34.564878,-58.4651,0.014680809781951
020101806,7,9,796,78,1,02,Ciudad Autónoma de Buenos Aires,02010,Distrito Escolar 10,020101806,,796,296,-34.566814,-58.468781,0.024978540818083
020102002,10,12,858,83,2,02,Ciudad Autónoma de Buenos Aires,02010,Distrito Escolar 10,020102002,,858,366,-34.564407,-58.459493,0.012928508235698
020102403,14,18,1545,78,1,02,Ciudad Autónoma de Buenos Aires,02010,Distrito Escolar 10,020102403,,1617,523,-34.551559,-58.438799,0.52336807340497
020102405,14,19,1297,74,1,02,Ciudad Autónoma de Buenos Aires,02010,Distrito Escolar 10,020102405,,1305,484,-34.555836,-58.443174,0.14785890263761
020120401,6,8,735,75,1,02,Ciudad Autónoma de Buenos Aires,02012,Distrito Escolar 12,020120401,,738,272,-34.613356,-58.47023,0.048408129444686
020140612,6,6,529,100,3,02,Ciudad Autónoma de Buenos Aires,02014,Distrito Escolar 14,020140612,,529,179,-34.59705,-58.452655,0.083943479644828
020140616,5,6,610,83,2,02,Ciudad Autónoma de Buenos Aires,02014,Distrito Escolar 14,020140616,,610,202,-34.596439,-58.448703,0.038122376884683
020140617,6,7,616,86,2,02,Ciudad Autónoma de Buenos Aires,02014,Distrito Escolar 14,020140617,,616,223,-34.598046,-58.450765,0.054715053818234
020140713,9,9,755,100,3,02,Ciudad Autónoma de Buenos Aires,02014,Distrito Escolar 14,020140713,,755,299,-34.603024,-58.457343,0.028492279136484
020150301,5,5,499,100,3,02,Ciudad Autónoma de Buenos Aires,02015,Distrito Escolar 15,020150301,,499,172,-34.55357,-58.490697,0.051639939013237
020150903,6,6,626,100,3,02,Ciudad Autónoma de Buenos Aires,02015,Distrito Escolar 15,020150903,,626,212,-34.581759,-58.481538,0.044373750348261
020190103,10,10,1867,100,3,02,Ciudad Autónoma de Buenos Aires,02019,Distrito Escolar 19,020190103,,1867,444,-34.645843,-58.442794,0.05221532184592
020210802,2,2,547,100,3,02,Ciudad Autónoma de Buenos Aires,02021,Distrito Escolar 21,020210802,,547,133,-34.672299,-58.45101,1.155040033
060070103,1,1,25,100,3,06,Buenos Aires,06007,Adolfo Alsina,060070103,,25,10,-36.660961,-63.364417,0.90768277666578
060070104,1,1,0,100,3,06,Buenos Aires,06007,Adolfo Alsina,060070104,,0,0,-36.644307,-63.360443,15.146278693959
060070105,2,2,27,100,3,06,Buenos Aires,06007,Adolfo Alsina,060070105,,27,10,-36.669486,-63.322869,236.39332190257
060070106,1,1,16,100,3,06,Buenos Aires,06007,Adolfo Alsina,060070106,,16,6,-36.744493,-63.260326,91.794100761394
060070108,1,1,29,100,3,06,Buenos Aires,06007,Adolfo Alsina,060070108,,29,10,-36.781359,-63.228467,98.81282994
060070109,1,1,20,100,3,06,Buenos Aires,06007,Adolfo Alsina,060070109,,20,7,-36.804165,-63.142917,124.69483596422
060070110,1,1,14,100,3,06,Buenos Aires,06007,Adolfo Alsina,060070110,,14,4,-36.865594,-63.225227,57.299870384066
060070111,1,1,21,100,3,06,Buenos Aires,06007,Adolfo Alsina,060070111,,21,8,-36.93873,-63.160988,47.982237294886
060070112,1,1,29,100,3,06,Buenos Aires,06007,Adolfo Alsina,060070112,,29,10,-36.913656,-63.129475,47.817834349506
060070113,1,1,40,100,3,06,Buenos Aires,06007,Adolfo Alsina,060070113,,40,11,-36.886402,-63.084619,67.237016998466
060070114,2,2,80,100,3,06,Buenos Aires,06007,Adolfo Alsina,060070114,,80,26,-36.84932,-63.033445,59.533036297654
060070201,1,1,13,100,3,06,Buenos Aires,06007,Adolfo Alsina,060070201,,13,4,-36.868707,-63.341729,71.351805008293
060070202,1,1,25,100,3,06,Buenos Aires,06007,Adolfo Alsina,060070202,,25,9,-36.931835,-63.2896,2.4746183047828
060070203,2,2,47,100,3,06,Buenos Aires,06007,Adolfo Alsina,060070203,,47,16,-36.945944,-63.231922,123.18562895664
060070204,1,1,11,100,3,06,Buenos Aires,06007,Adolfo Alsina,060070204,,11,5,-36.948043,-63.355292,66.753972910949
060070205,1,1,43,100,3,06,Buenos Aires,06007,Adolfo Alsina,060070205,,43,13,-37.101325,-63.345055,102.5362251
060070206,1,1,43,100,3,06,Buenos Aires,06007,Adolfo Alsina,060070206,,43,14,-37.02467,-63.30806,82.328192447363
060070209,1,1,19,100,3,06,Buenos Aires,06007,Adolfo Alsina,060070209,,19,8,-36.988292,-63.131766,0.41377660836667
060070302,1,1,2,100,3,06,Buenos Aires,06007,Adolfo Alsina,060070302,,2,1,-36.94321,-62.950142,149.57354648966
060070303,2,2,52,100,3,06,Buenos Aires,06007,Adolfo Alsina,060070303,,52,15,-37.013663,-63.110526,116.8113082
060070305,1,1,23,100,3,06,Buenos Aires,06007,Adolfo Alsina,060070305,,23,8,-37.070896,-62.94987,49.548093739595
060070306,1,1,55,100,3,06,Buenos Aires,06007,Adolfo Alsina,060070306,,55,18,-37.079188,-62.850175,272.05733154537
060070308,1,1,24,100,3,06,Buenos Aires,06007,Adolfo Alsina,060070308,,24,8,-37.133607,-63.030036,49.965933082189
060070404,1,1,37,100,3,06,Buenos Aires,06007,Adolfo Alsina,060070404,,37,10,-37.319919,-63.233347,0.31510270046817
060070405,1,1,41,100,3,06,Buenos Aires,06007,Adolfo Alsina,060070405,,41,10,-37.096703,-63.213271,42.931474126806
060070406,1,1,8,100,3,06,Buenos Aires,06007,Adolfo Alsina,060070406,,8,3,-37.12927,-63.185168,33.040473490518
060070408,1,1,33,100,3,06,Buenos Aires,06007,Adolfo Alsina,060070408,,33,13,-37.136771,-63.28143,36.348089139549
060070409,2,2,11,100,3,06,Buenos Aires,06007,Adolfo Alsina,060070409,,11,3,-37.199322,-63.339711,63.436208615223
060070410,1,1,5,100,3,06,Buenos Aires,06007,Adolfo Alsina,060070410,,5,3,-37.227302,-63.318822,33.081459782127
060070415,1,1,8,100,3,06,Buenos Aires,06007,Adolfo Alsina,060070415,,8,3,-37.245126,-63.050345,100.26904628201
060070417,1,1,12,100,3,06,Buenos Aires,06007,Adolfo Alsina,060070417,,12,5,-37.282682,-63.15154,77.661066411633
060070419,1,1,17,100,3,06,Buenos Aires,06007,Adolfo Alsina,060070419,,17,4,-37.278028,-63.294583,47.159658599875
060070501,2,2,100,100,3,06,Buenos Aires,06007,Adolfo Alsina,060070501,,100,38,-37.455409,-63.254197,0.37923461335211
060070502,1,1,0,100,3,06,Buenos Aires,06007,Adolfo Alsina,060070502,,0,0,-37.460177,-63.240741,0.21069492845566
060070508,1,1,16,100,3,06,Buenos Aires,06007,Adolfo Alsina,060070508,,16,7,-37.519089,-63.218965,50.481982744259
060070511,1,1,3,100,3,06,Buenos Aires,06007,Adolfo Alsina,060070511,,3,1,-37.560879,-63.102472,38.466063329724
060070512,1,1,20,100,3,06,Buenos Aires,06007,Adolfo Alsina,060070512,,20,8,-37.613046,-63.154053,41.279377426641
060070513,1,1,0,100,3,06,Buenos Aires,06007,Adolfo Alsina,060070513,,0,0,-37.574979,-63.185692,31.206255928941
060070516,1,1,13,100,3,06,Buenos Aires,06007,Adolfo Alsina,060070516,,13,4,-37.751378,-63.35486,61.293910228304
060070603,2,2,8,100,3,06,Buenos Aires,06007,Adolfo Alsina,060070603,,8,4,-37.35744,-62.911798,151.33616276597
060070604,1,1,6,100,3,06,Buenos Aires,06007,Adolfo Alsina,060070604,,6,2,-37.421373,-62.95198,49.93329871
060070606,1,1,38,100,3,06,Buenos Aires,06007,Adolfo Alsina,060070606,,38,10,-37.357008,-63.071587,37.711471516337
060070607,1,1,5,100,3,06,Buenos Aires,06007,Adolfo Alsina,060070607,,5,2,-37.408767,-63.072734,26.224050680467
060070608,1,1,19,100,3,06,Buenos Aires,06007,Adolfo Alsina,060070608,,19,8,-37.452992,-62.992422,50.453321548364
060070609,1,1,18,100,3,06,Buenos Aires,06007,Adolfo Alsina,060070609,,18,6,-37.500652,-63.012883,25.403235104675
060070611,1,1,14,100,3,06,Buenos Aires,06007,Adolfo Alsina,060070611,,14,6,-37.415107,-63.113019,35.399832729178
060070613,1,1,28,100,3,06,Buenos Aires,06007,Adolfo Alsina,060070613,,28,13,-37.441966,-63.142937,35.949885563003
060070614,1,1,10,100,3,06,Buenos Aires,06007,Adolfo Alsina,060070614,,10,4,-37.461733,-63.164242,19.969340656452
060070615,1,1,23,100,3,06,Buenos Aires,06007,Adolfo Alsina,060070615,,23,7,-37.516644,-63.07321,50.423806205699
060070703,1,1,2,100,3,06,Buenos Aires,06007,Adolfo Alsina,060070703,,2,1,-37.237493,-62.901145,74.043695379407
060140101,3,3,48,100,3,06,Buenos Aires,06014,Adolfo Gonzales Chaves,060140101,,48,17,-37.901363,-60.691594,330.09785122196
060140201,2,2,50,100,3,06,Buenos Aires,06014,Adolfo Gonzales Chaves,060140201,,50,12,-37.717003,-60.508649,240.95951653914
060210101,1,1,24,100,3,06,Buenos Aires,06021,Alberti,060210101,,24,10,-34.877189,-60.427695,35.704496185703
060210102,3,3,24,100,3,06,Buenos Aires,06021,Alberti,060210102,,24,6,-34.948999,-60.421299,77.08386874
060210204,2,2,35,100,3,06,Buenos Aires,06021,Alberti,060210204,,35,11,-34.828993,-60.351538,34.810141832679
060210205,1,1,20,100,3,06,Buenos Aires,06021,Alberti,060210205,,20,7,-34.847197,-60.37942,21.245546526334
060210207,2,2,27,100,3,06,Buenos Aires,06021,Alberti,060210207,,27,11,-34.891498,-60.334577,3.1303094382142
060210301,1,1,26,100,3,06,Buenos Aires,06021,Alberti,060210301,,26,9,-34.951816,-60.33029,39.320162425161
060210302,2,2,16,100,3,06,Buenos Aires,06021,Alberti,060210302,,16,6,-34.935903,-60.280135,57.372542148273
060210401,2,2,46,100,3,06,Buenos Aires,06021,Alberti,060210401,,46,13,-35.00511,-60.39581,64.130371084133
060210402,1,1,13,100,3,06,Buenos Aires,06021,Alberti,060210402,,13,5,-35.004217,-60.323474,34.933590731906
060210502,1,1,48,100,3,06,Buenos Aires,06021,Alberti,060210502,,48,15,-35.054858,-60.364096,32.169911084986
060210503,1,1,15,100,3,06,Buenos Aires,06021,Alberti,060210503,,15,7,-35.08918,-60.331769,41.331070144732
060210701,1,1,4,100,3,06,Buenos Aires,06021,Alberti,060210701,,4,2,-34.987941,-60.226862,29.81609006
060210702,2,2,22,100,3,06,Buenos Aires,06021,Alberti,060210702,,22,8,-35.030477,-60.184303,57.173528913636
060210901,2,2,64,100,3,06,Buenos Aires,06021,Alberti,060210901,,64,21,-35.162899,-60.184753,43.363164044227
060210902,2,2,24,100,3,06,Buenos Aires,06021,Alberti,060210902,,24,11,-35.234508,-60.185853,44.180897734405
060210903,2,2,46,100,3,06,Buenos Aires,06021,Alberti,060210903,,46,15,-35.200454,-60.226717,50.38612887
060210904,2,2,46,100,3,06,Buenos Aires,06021,Alberti,060210904,,46,14,-35.237102,-60.271178,41.013217439078
060211001,4,4,112,100,3,06,Buenos Aires,06021,Alberti,060211001,,112,47,-35.111308,-60.069971,1.3512206196709
060211002,2,2,52,100,3,06,Buenos Aires,06021,Alberti,060211002,,52,12,-35.114515,-60.134652,59.617572591922
060211003,1,1,20,100,3,06,Buenos Aires,06021,Alberti,060211003,,20,6,-35.138168,-60.085533,42.712559982596
060280201,6,8,981,75,1,06,Buenos Aires,06028,Almirante Brown,060280201,,981,262,-34.781533,-58.374658,0.11130779302028
060280421,6,8,993,75,1,06,Buenos Aires,06028,Almirante Brown,060280421,,1027,227,-34.767892,-58.332035,0.12508120409485
060280815,8,8,884,100,3,06,Buenos Aires,06028,Almirante Brown,060280815,,884,252,-34.845164,-58.383253,0.36406459472342
060280904,8,9,1241,89,2,06,Buenos Aires,06028,Almirante Brown,060280904,,1241,271,-34.813997,-58.412382,0.1917488509097
060280912,5,7,1006,71,1,06,Buenos Aires,06028,Almirante Brown,060280912,,1006,235,-34.822695,-58.412184,0.1171824269608
060281101,11,14,1975,79,1,06,Buenos Aires,06028,Almirante Brown,060281101,,1975,486,-34.801948,-58.348582,0.21245761414161
060281304,8,11,1800,73,1,06,Buenos Aires,06028,Almirante Brown,060281304,,1800,378,-34.842915,-58.359255,0.24277353751148
060281601,7,9,1571,78,1,06,Buenos Aires,06028,Almirante Brown,060281601,,1571,354,-34.886513,-58.406029,1.7838274248326
060281618,6,8,973,75,1,06,Buenos Aires,06028,Almirante Brown,060281618,,973,242,-34.902635,-58.399596,0.22342356881516
060281717,9,12,907,75,1,06,Buenos Aires,06028,Almirante Brown,060281717,,907,214,-34.816768,-58.404867,0.1117990589888
060282008,10,14,1906,71,1,06,Buenos Aires,06028,Almirante Brown,060282008,,1906,482,-34.779915,-58.351095,0.17476147603648
060282013,8,9,1068,89,2,06,Buenos Aires,06028,Almirante Brown,060282013,,1068,208,-34.775712,-58.337662,0.10877077313101
060282014,7,10,1471,70,1,06,Buenos Aires,06028,Almirante Brown,060282014,,1471,312,-34.7793,-58.3374,0.11604146603206
060282016,10,10,1577,100,3,06,Buenos Aires,06028,Almirante Brown,060282016,,1577,322,-34.775272,-58.333152,0.13954154766696
060282019,15,16,1909,94,2,06,Buenos Aires,06028,Almirante Brown,060282019,,1909,403,-34.770669,-58.326135,0.12532279837916
060282020,7,8,858,88,2,06,Buenos Aires,06028,Almirante Brown,060282020,,858,178,-34.773447,-58.339138,0.10603519490886
060282022,8,10,1273,80,2,06,Buenos Aires,06028,Almirante Brown,060282022,,1273,281,-34.774221,-58.327644,0.11551481284979
060350101,4,4,520,100,3,06,Buenos Aires,06035,Avellaneda,060350101,,616,163,-34.653884,-58.368101,0.4709263691988
060350102,7,8,627,88,2,06,Buenos Aires,06035,Avellaneda,060350102,,627,191,-34.655684,-58.36242,0.20176868648826
060350120,7,8,543,88,2,06,Buenos Aires,06035,Avellaneda,060350120,,578,187,-34.659032,-58.362648,0.049136324380624
060350413,8,8,845,100,3,06,Buenos Aires,06035,Avellaneda,060350413,,845,256,-34.666514,-58.398013,0.086236368905496
060350501,6,6,680,100,3,06,Buenos Aires,06035,Avellaneda,060350501,,680,191,-34.639882,-58.355752,0.073893534178916
060350502,3,4,528,75,1,06,Buenos Aires,06035,Avellaneda,060350502,,528,147,-34.641416,-58.353253,0.05769785778544
060350503,5,5,454,100,3,06,Buenos Aires,06035,Avellaneda,060350503,,454,116,-34.642667,-58.355577,0.1098528902281
060350505,16,20,1766,80,2,06,Buenos Aires,06035,Avellaneda,060350505,,1782,457,-34.651556,-58.35515,0.17409737188847
060350506,12,12,699,100,3,06,Buenos Aires,06035,Avellaneda,060350506,,699,181,-34.651589,-58.361916,0.034623336552868
060350507,1,1,33,100,3,06,Buenos Aires,06035,Avellaneda,060350507,,33,7,-34.652304,-58.358647,0.049758384193854
060350512,5,7,794,71,1,06,Buenos Aires,06035,Avellaneda,060350512,,794,240,-34.655412,-58.353311,0.1490857951646
060350524,17,20,1439,85,2,06,Buenos Aires,06035,Avellaneda,060350524,,1440,368,-34.653337,-58.36057,0.068331796691124
060350601,11,14,1821,79,1,06,Buenos Aires,06035,Avellaneda,060350601,,1821,455,-34.648231,-58.333576,5.4129777829929
060350603,10,14,1423,71,1,06,Buenos Aires,06035,Avellaneda,060350603,,1423,385,-34.646055,-58.349699,0.1954834533051
060350604,7,7,930,100,3,06,Buenos Aires,06035,Avellaneda,060350604,,930,265,-34.648051,-58.345,0.07882335028172
060350605,5,5,579,100,3,06,Buenos Aires,06035,Avellaneda,060350605,,579,183,-34.64766,-58.348347,0.051080433480794
060350606,3,4,443,75,1,06,Buenos Aires,06035,Avellaneda,060350606,,443,148,-34.648835,-58.348242,0.047142443508254
060350607,5,5,640,100,3,06,Buenos Aires,06035,Avellaneda,060350607,,640,189,-34.650028,-58.346326,0.06521154157481
060350608,6,7,631,86,2,06,Buenos Aires,06035,Avellaneda,060350608,,631,208,-34.650426,-58.34194,0.096368421761461
060350609,5,5,490,100,3,06,Buenos Aires,06035,Avellaneda,060350609,,490,144,-34.651226,-58.344888,0.035667096157427
060350610,5,5,685,100,3,06,Buenos Aires,06035,Avellaneda,060350610,,685,215,-34.651762,-58.347689,0.063932209964839
060350611,30,34,3990,88,2,06,Buenos Aires,06035,Avellaneda,060350611,,3990,973,-34.651022,-58.3511,0.16677784986283
060350612,4,5,573,80,2,06,Buenos Aires,06035,Avellaneda,060350612,,596,169,-34.653458,-58.349026,0.064099248372787
060350613,7,7,743,100,3,06,Buenos Aires,06035,Avellaneda,060350613,,743,237,-34.654621,-58.3493,0.069325330098852
