Código de Radio Censal,Segmentos inundables,Segmentos en el radio,Población en hogares familiares,Porcentaje de Segmentos inundados x radio censal, Nivel de incidencia,Código de provincia,Nombre de provincia,Código de departamentos/comuna,Nombre de departamentos/comuna,Código de radio,Población total,Total de hogares,Latitud del centroide,Longitud del centroide,Superficie en km2
020010101,1,1,207,100,3,02,Ciudad Autónoma de Buenos Aires,02001,Comuna 1,020010101,336,65,-34.586689,-58.368836,1.7944744645725
020010315,30,31,843,97,2,02,Ciudad Autónoma de Buenos Aires,02001,Comuna 1,020010315,843,310,-34.583877,-58.381449,0.0062056075676514
020011314,39,55,1949,71,1,02,Ciudad Autónoma de Buenos Aires,02001,Comuna 1,020011314,1960,659,-34.609188,-58.353368,3.8043590703422
020020401,10,14,802,71,1,02,Ciudad Autónoma de Buenos Aires,02002,Comuna 2,020020401,823,313,-34.586048,-58.388475,0.015699694124489
020041001,1,1,73,100,3,02,Ciudad Autónoma de Buenos Aires,02004,Comuna 4,020041001,73,23,-34.645687,-58.39416,0.54328133571421
020041109,18,24,885,75,1,02,Ciudad Autónoma de Buenos Aires,02004,Comuna 4,020041109,885,269,-34.656635,-58.385311,0.24224131063291
020042307,7,10,643,70,1,02,Ciudad Autónoma de Buenos Aires,02004,Comuna 4,020042307,653,233,-34.64951,-58.378153,0.04841274703189
020050608,15,16,922,94,2,02,Ciudad Autónoma de Buenos Aires,02005,Comuna 5,020050608,922,385,-34.604642,-58.431146,0.019137593571897
020051102,14,16,894,88,2,02,Ciudad Autónoma de Buenos Aires,02005,Comuna 5,020051102,894,389,-34.606516,-58.429867,0.017939232852366
020051104,10,14,682,71,1,02,Ciudad Autónoma de Buenos Aires,02005,Comuna 5,020051104,682,331,-34.609795,-58.429736,0.028572479225063
020051105,9,12,754,75,1,02,Ciudad Autónoma de Buenos Aires,02005,Comuna 5,020051105,764,321,-34.609671,-58.428341,0.028483425492387
020060101,7,9,677,78,1,02,Ciudad Autónoma de Buenos Aires,02006,Comuna 6,020060101,677,242,-34.608636,-58.461402,0.044823810539771
020060102,10,13,824,77,1,02,Ciudad Autónoma de Buenos Aires,02006,Comuna 6,020060102,824,345,-34.606468,-58.460066,0.036400536510728
020060103,12,14,857,86,2,02,Ciudad Autónoma de Buenos Aires,02006,Comuna 6,020060103,888,347,-34.605563,-58.458472,0.022591267387168
020060104,8,11,667,73,1,02,Ciudad Autónoma de Buenos Aires,02006,Comuna 6,020060104,698,274,-34.605735,-58.456815,0.033905330344202
020060107,9,10,692,90,2,02,Ciudad Autónoma de Buenos Aires,02006,Comuna 6,020060107,692,260,-34.607475,-58.457122,0.038655077913974
020060108,11,12,849,92,2,02,Ciudad Autónoma de Buenos Aires,02006,Comuna 6,020060108,871,310,-34.607776,-58.459679,0.041608277827995
020060310,14,14,835,100,3,02,Ciudad Autónoma de Buenos Aires,02006,Comuna 6,020060310,864,393,-34.608596,-58.445751,0.031484913817752
020060410,9,12,804,75,1,02,Ciudad Autónoma de Buenos Aires,02006,Comuna 6,020060410,804,339,-34.615477,-58.443472,0.031279211041547
020060702,9,11,721,82,2,02,Ciudad Autónoma de Buenos Aires,02006,Comuna 6,020060702,803,343,-34.60525,-58.432029,0.030926553407134
020060703,8,11,635,73,1,02,Ciudad Autónoma de Buenos Aires,02006,Comuna 6,020060703,954,278,-34.604491,-58.434074,0.048272704327764
020061107,15,15,755,100,3,02,Ciudad Autónoma de Buenos Aires,02006,Comuna 6,020061107,755,357,-34.617114,-58.443691,0.01650401927796
020071511,10,12,1148,83,2,02,Ciudad Autónoma de Buenos Aires,02007,Comuna 7,020071511,1148,367,-34.651028,-58.458535,0.21071417496987
020071902,13,18,1659,72,1,02,Ciudad Autónoma de Buenos Aires,02007,Comuna 7,020071902,1659,507,-34.644525,-58.443617,0.04062591076588
020072008,11,14,1189,79,1,02,Ciudad Autónoma de Buenos Aires,02007,Comuna 7,020072008,1189,441,-34.641508,-58.437327,0.11396538225394
020072407,7,9,852,78,1,02,Ciudad Autónoma de Buenos Aires,02007,Comuna 7,020072407,852,289,-34.637762,-58.433556,0.065659380931874
020080502,7,10,776,70,1,02,Ciudad Autónoma de Buenos Aires,02008,Comuna 8,020080502,776,263,-34.659477,-58.478954,0.063357035666248
020080706,14,20,1392,70,1,02,Ciudad Autónoma de Buenos Aires,02008,Comuna 8,020080706,1392,395,-34.673302,-58.464102,0.014105557090673
020080707,28,37,2159,76,1,02,Ciudad Autónoma de Buenos Aires,02008,Comuna 8,020080707,2159,661,-34.674013,-58.464874,0.020504640970152
020081301,1,1,45,100,3,02,Ciudad Autónoma de Buenos Aires,02008,Comuna 8,020081301,45,20,-34.673994,-58.445529,2.8149271124245
020081407,9,11,943,82,2,02,Ciudad Autónoma de Buenos Aires,02008,Comuna 8,020081407,949,297,-34.659567,-58.44043,0.16397345310507
020081408,8,10,798,80,2,02,Ciudad Autónoma de Buenos Aires,02008,Comuna 8,020081408,798,259,-34.659086,-58.437489,0.1309190162254
020081510,11,15,1258,73,1,02,Ciudad Autónoma de Buenos Aires,02008,Comuna 8,020081510,1264,389,-34.663243,-58.448286,0.19180287163016
020081702,9,9,620,100,3,02,Ciudad Autónoma de Buenos Aires,02008,Comuna 8,020081702,620,221,-34.662961,-58.470837,0.034691455851267
020081704,10,11,780,91,2,02,Ciudad Autónoma de Buenos Aires,02008,Comuna 8,020081704,780,290,-34.660725,-58.468734,0.021885303353138
020090107,9,10,664,90,2,02,Ciudad Autónoma de Buenos Aires,02009,Comuna 9,020090107,683,257,-34.635108,-58.524553,0.084175871990463
020090301,13,13,642,100,3,02,Ciudad Autónoma de Buenos Aires,02009,Comuna 9,020090301,646,263,-34.641134,-58.528782,0.091440063858752
020091404,6,8,846,75,1,02,Ciudad Autónoma de Buenos Aires,02009,Comuna 9,020091404,846,249,-34.656204,-58.471989,0.10040818863218
020091407,16,23,1374,70,1,02,Ciudad Autónoma de Buenos Aires,02009,Comuna 9,020091407,1374,351,-34.659176,-58.473428,0.026871352136516
020091409,10,12,901,83,2,02,Ciudad Autónoma de Buenos Aires,02009,Comuna 9,020091409,905,252,-34.659927,-58.474932,0.063892132110689
020091410,24,34,1804,71,1,02,Ciudad Autónoma de Buenos Aires,02009,Comuna 9,020091410,1804,489,-34.6606,-58.472251,0.05495718065872
020100605,8,11,876,73,1,02,Ciudad Autónoma de Buenos Aires,02010,Comuna 10,020100605,876,353,-34.614369,-58.504031,0.074794279394369
020100706,10,14,907,71,1,02,Ciudad Autónoma de Buenos Aires,02010,Comuna 10,020100706,960,342,-34.616991,-58.494822,0.084414950071467
020100807,13,15,1125,87,2,02,Ciudad Autónoma de Buenos Aires,02010,Comuna 10,020100807,1154,425,-34.630623,-58.506352,0.095518226603556
020100808,15,15,1094,100,3,02,Ciudad Autónoma de Buenos Aires,02010,Comuna 10,020100808,1121,408,-34.631694,-58.503746,0.091359021348356
020101011,8,11,810,73,1,02,Ciudad Autónoma de Buenos Aires,02010,Comuna 10,020101011,810,304,-34.622003,-58.487764,0.085113010191979
020101012,10,13,900,77,1,02,Ciudad Autónoma de Buenos Aires,02010,Comuna 10,020101012,900,346,-34.623894,-58.485727,0.059095378838794
020101103,13,15,856,87,2,02,Ciudad Autónoma de Buenos Aires,02010,Comuna 10,020101103,856,354,-34.625433,-58.484619,0.062617954959864
020110103,7,10,678,70,1,02,Ciudad Autónoma de Buenos Aires,02011,Comuna 11,020110103,720,247,-34.586575,-58.514478,0.070331581089538
020111001,8,11,706,73,1,02,Ciudad Autónoma de Buenos Aires,02011,Comuna 11,020111001,724,315,-34.598218,-58.49299,0.040988737499055
020111309,12,12,994,100,3,02,Ciudad Autónoma de Buenos Aires,02011,Comuna 11,020111309,994,371,-34.608077,-58.486848,0.05004882906458
020111503,12,16,1025,75,1,02,Ciudad Autónoma de Buenos Aires,02011,Comuna 11,020111503,1025,368,-34.613352,-58.490122,0.075997402114492
020111707,14,14,916,100,3,02,Ciudad Autónoma de Buenos Aires,02011,Comuna 11,020111707,916,331,-34.620712,-58.482757,0.063514113207483
020111804,15,16,903,94,2,02,Ciudad Autónoma de Buenos Aires,02011,Comuna 11,020111804,903,370,-34.619012,-58.478158,0.058251525452059
020111805,9,12,804,75,1,02,Ciudad Autónoma de Buenos Aires,02011,Comuna 11,020111805,804,318,-34.616615,-58.476392,0.054546673488796
020111809,9,12,815,75,1,02,Ciudad Autónoma de Buenos Aires,02011,Comuna 11,020111809,815,304,-34.621905,-58.47886,0.054797068563018
020111907,9,12,916,75,1,02,Ciudad Autónoma de Buenos Aires,02011,Comuna 11,020111907,916,319,-34.614333,-58.473841,0.060793210569509
020111908,12,12,837,100,3,02,Ciudad Autónoma de Buenos Aires,02011,Comuna 11,020111908,837,301,-34.615894,-58.472008,0.068596863089059
020111909,10,13,848,77,1,02,Ciudad Autónoma de Buenos Aires,02011,Comuna 11,020111909,889,348,-34.617736,-58.471245,0.056448050810717
020112006,7,9,708,78,1,02,Ciudad Autónoma de Buenos Aires,02011,Comuna 11,020112006,711,267,-34.611933,-58.472937,0.051582256585039
020112007,8,9,653,89,2,02,Ciudad Autónoma de Buenos Aires,02011,Comuna 11,020112007,653,232,-34.611314,-58.471785,0.04945213986707
020112010,10,11,770,91,2,02,Ciudad Autónoma de Buenos Aires,02011,Comuna 11,020112010,770,292,-34.609956,-58.467542,0.08843245164106
020112011,8,10,698,80,2,02,Ciudad Autónoma de Buenos Aires,02011,Comuna 11,020112011,698,252,-34.610857,-58.470029,0.048098921501741
020112105,12,15,922,80,2,02,Ciudad Autónoma de Buenos Aires,02011,Comuna 11,020112105,922,391,-34.604541,-58.460797,0.045553994214212
020112107,8,10,711,80,2,02,Ciudad Autónoma de Buenos Aires,02011,Comuna 11,020112107,711,270,-34.605844,-58.464287,0.037468538124363
020112108,10,10,712,100,3,02,Ciudad Autónoma de Buenos Aires,02011,Comuna 11,020112108,712,256,-34.606296,-58.466114,0.045272330131304
020112110,9,11,829,82,2,02,Ciudad Autónoma de Buenos Aires,02011,Comuna 11,020112110,829,292,-34.608595,-58.464422,0.052567317051943
020112111,13,13,940,100,3,02,Ciudad Autónoma de Buenos Aires,02011,Comuna 11,020112111,941,374,-34.607156,-58.463142,0.036675865651001
020112201,11,12,881,92,2,02,Ciudad Autónoma de Buenos Aires,02011,Comuna 11,020112201,904,345,-34.610199,-58.463335,0.062983087559321
020112202,12,12,954,100,3,02,Ciudad Autónoma de Buenos Aires,02011,Comuna 11,020112202,977,358,-34.611373,-58.465671,0.058922801310048
020112204,11,12,678,92,2,02,Ciudad Autónoma de Buenos Aires,02011,Comuna 11,020112204,694,265,-34.613356,-58.47023,0.048408129444686
020112205,11,11,851,100,3,02,Ciudad Autónoma de Buenos Aires,02011,Comuna 11,020112205,893,310,-34.614768,-58.469534,0.064525567587917
020120111,11,13,1038,85,2,02,Ciudad Autónoma de Buenos Aires,02012,Comuna 12,020120111,1038,374,-34.552968,-58.492455,0.090112624787274
020120306,11,14,1816,79,1,02,Ciudad Autónoma de Buenos Aires,02012,Comuna 12,020120306,1820,451,-34.548872,-58.486722,0.067602777927825
020121105,9,11,919,82,2,02,Ciudad Autónoma de Buenos Aires,02012,Comuna 12,020121105,920,307,-34.573337,-58.474653,0.077480123553506
020121110,8,11,860,73,1,02,Ciudad Autónoma de Buenos Aires,02012,Comuna 12,020121110,860,283,-34.572147,-58.471475,0.10280057504124
020130104,12,17,763,71,1,02,Ciudad Autónoma de Buenos Aires,02013,Comuna 13,020130104,763,367,-34.536929,-58.467017,0.046303644595052
020130105,18,23,835,78,1,02,Ciudad Autónoma de Buenos Aires,02013,Comuna 13,020130105,835,421,-34.537387,-58.466663,0.012902823475362
020130304,17,20,1069,85,2,02,Ciudad Autónoma de Buenos Aires,02013,Comuna 13,020130304,1069,433,-34.547629,-58.457534,0.08277732418169
020130903,12,12,506,100,3,02,Ciudad Autónoma de Buenos Aires,02013,Comuna 13,020130903,506,247,-34.558466,-58.459011,0.014344857757752
020130904,10,14,572,71,1,02,Ciudad Autónoma de Buenos Aires,02013,Comuna 13,020130904,572,293,-34.5594,-58.458201,0.014126790297192
020130907,9,12,655,75,1,02,Ciudad Autónoma de Buenos Aires,02013,Comuna 13,020130907,677,296,-34.558155,-58.453743,0.012630667103754
020130908,13,14,788,93,2,02,Ciudad Autónoma de Buenos Aires,02013,Comuna 13,020130908,788,344,-34.558684,-58.454632,0.012716806268361
020130909,14,14,868,100,3,02,Ciudad Autónoma de Buenos Aires,02013,Comuna 13,020130909,868,363,-34.559217,-58.455532,0.012974897376812
020130910,11,11,536,100,3,02,Ciudad Autónoma de Buenos Aires,02013,Comuna 13,020130910,537,239,-34.560055,-58.456942,0.027372900272963
020131104,7,10,556,70,1,02,Ciudad Autónoma de Buenos Aires,02013,Comuna 13,020131104,557,229,-34.55097,-58.451526,0.041886758701175
020131106,11,14,1081,79,1,02,Ciudad Autónoma de Buenos Aires,02013,Comuna 13,020131106,1081,408,-34.551447,-58.447185,0.096180007860971
020131107,11,13,726,85,2,02,Ciudad Autónoma de Buenos Aires,02013,Comuna 13,020131107,726,284,-34.55239,-58.446389,0.094835282348737
020131501,16,16,745,100,3,02,Ciudad Autónoma de Buenos Aires,02013,Comuna 13,020131501,745,350,-34.561469,-58.45933,0.012552207040162
020131507,15,17,803,88,2,02,Ciudad Autónoma de Buenos Aires,02013,Comuna 13,020131507,803,383,-34.564407,-58.459493,0.012928508235698
020131606,6,8,412,75,1,02,Ciudad Autónoma de Buenos Aires,02013,Comuna 13,020131606,412,183,-34.560663,-58.46272,0.012864439345576
020131610,14,17,839,82,2,02,Ciudad Autónoma de Buenos Aires,02013,Comuna 13,020131610,839,391,-34.560805,-58.460575,0.025634037944444
020131703,11,14,817,79,1,02,Ciudad Autónoma de Buenos Aires,02013,Comuna 13,020131703,817,389,-34.563195,-58.465127,0.019465420308675
020131704,10,10,552,100,3,02,Ciudad Autónoma de Buenos Aires,02013,Comuna 13,020131704,552,247,-34.563958,-58.465893,0.014838839793464
020131804,11,13,719,85,2,02,Ciudad Autónoma de Buenos Aires,02013,Comuna 13,020131804,719,294,-34.566814,-58.468781,0.024978540818083
020132008,14,17,783,82,2,02,Ciudad Autónoma de Buenos Aires,02013,Comuna 13,020132008,783,386,-34.568057,-58.457734,0.022979957495713
020140410,23,31,1465,74,1,02,Ciudad Autónoma de Buenos Aires,02014,Comuna 14,020140410,1482,697,-34.576099,-58.430913,0.047269351521576
020140702,13,17,918,76,1,02,Ciudad Autónoma de Buenos Aires,02014,Comuna 14,020140702,918,411,-34.583573,-58.442393,0.064142922616307
020140709,12,13,589,92,2,02,Ciudad Autónoma de Buenos Aires,02014,Comuna 14,020140709,616,275,-34.584837,-58.43545,0.084640115712689
020140801,9,12,841,75,1,02,Ciudad Autónoma de Buenos Aires,02014,Comuna 14,020140801,843,366,-34.582118,-58.433798,0.088550565291101
020140805,18,22,958,82,2,02,Ciudad Autónoma de Buenos Aires,02014,Comuna 14,020140805,987,482,-34.577738,-58.429881,0.01840586122272
020140806,19,21,927,90,2,02,Ciudad Autónoma de Buenos Aires,02014,Comuna 14,020140806,927,469,-34.578166,-58.428526,0.028682536544372
020140807,11,12,632,92,2,02,Ciudad Autónoma de Buenos Aires,02014,Comuna 14,020140807,632,301,-34.578895,-58.427782,0.022139107198494
020140808,13,13,696,100,3,02,Ciudad Autónoma de Buenos Aires,02014,Comuna 14,020140808,696,306,-34.579754,-58.429478,0.032392923848303
020140809,19,21,973,90,2,02,Ciudad Autónoma de Buenos Aires,02014,Comuna 14,020140809,1177,476,-34.581077,-58.431161,0.067595898990913
020140908,17,19,784,89,2,02,Ciudad Autónoma de Buenos Aires,02014,Comuna 14,020140908,784,391,-34.569225,-58.431253,0.016712529394468
020140909,14,16,793,88,2,02,Ciudad Autónoma de Buenos Aires,02014,Comuna 14,020140909,793,363,-34.571341,-58.431264,0.039835204017872
020140912,15,15,888,100,3,02,Ciudad Autónoma de Buenos Aires,02014,Comuna 14,020140912,1035,418,-34.574362,-58.427767,0.29608529417209
020140913,14,16,655,88,2,02,Ciudad Autónoma de Buenos Aires,02014,Comuna 14,020140913,683,349,-34.570596,-58.428256,0.2318324674903
020141103,16,18,507,89,2,02,Ciudad Autónoma de Buenos Aires,02014,Comuna 14,020141103,507,237,-34.572729,-58.421494,0.019174146334622
020141104,11,13,710,85,2,02,Ciudad Autónoma de Buenos Aires,02014,Comuna 14,020141104,710,279,-34.573277,-58.420254,0.020609003475795
020141107,13,16,504,81,2,02,Ciudad Autónoma de Buenos Aires,02014,Comuna 14,020141107,561,267,-34.575898,-58.423363,0.017147416368785
020141109,16,21,693,76,1,02,Ciudad Autónoma de Buenos Aires,02014,Comuna 14,020141109,694,412,-34.577524,-58.42347,0.013240604059782
020141110,8,9,380,89,2,02,Ciudad Autónoma de Buenos Aires,02014,Comuna 14,020141110,444,208,-34.57843,-58.424318,0.013794135403677
020141111,14,18,526,78,1,02,Ciudad Autónoma de Buenos Aires,02014,Comuna 14,020141111,526,316,-34.578998,-58.423391,0.013146727251693
020141203,10,14,633,71,1,02,Ciudad Autónoma de Buenos Aires,02014,Comuna 14,020141203,633,329,-34.581876,-58.426723,0.02914869956033
020141204,11,15,655,73,1,02,Ciudad Autónoma de Buenos Aires,02014,Comuna 14,020141204,767,344,-34.581153,-58.425384,0.013721188395472
020141301,8,10,697,80,2,02,Ciudad Autónoma de Buenos Aires,02014,Comuna 14,020141301,697,267,-34.587486,-58.4358,0.10441645266477
020141302,19,22,669,86,2,02,Ciudad Autónoma de Buenos Aires,02014,Comuna 14,020141302,676,313,-34.58393,-58.430851,0.17160012860194
020141304,8,11,591,73,1,02,Ciudad Autónoma de Buenos Aires,02014,Comuna 14,020141304,595,242,-34.584763,-58.427922,0.039835437327485
020141308,12,14,634,86,2,02,Ciudad Autónoma de Buenos Aires,02014,Comuna 14,020141308,662,275,-34.587472,-58.43205,0.050487530612697
020141310,12,12,681,100,3,02,Ciudad Autónoma de Buenos Aires,02014,Comuna 14,020141310,735,294,-34.59009,-58.434557,0.039501193672192
020141407,8,8,520,100,3,02,Ciudad Autónoma de Buenos Aires,02014,Comuna 14,020141407,523,210,-34.587515,-58.425387,0.035470126414148
020141504,13,18,772,72,1,02,Ciudad Autónoma de Buenos Aires,02014,Comuna 14,020141504,814,379,-34.582592,-58.420996,0.012773599809837
020142707,7,9,433,78,1,02,Ciudad Autónoma de Buenos Aires,02014,Comuna 14,020142707,433,217,-34.591097,-58.413841,0.0082543175185038
