Provincia,Departamento,Localidad,¿Se inunda?,Frecuencia,Código de provincia,Nombre de provincia,Código de departamentos/comuna,Nombre de departamentos/comuna,Código de radio,Superficie en km2,Latitud del centroide,Longitud del centroide
Formosa,Formosa,Formosa,"SÍ, SÓLO EN UN SECTOR DEL BARRIO",BAJA,34,Formosa,34014,Formosa,340142006,0.01963531458055,-26.219138,-58.212883
Formosa,Formosa,Formosa,"SÍ, SÓLO EN UN SECTOR DEL BARRIO",ALTA,34,Formosa,34014,Formosa,340142006,0.03769056190061,-26.205638,-58.218874
Formosa,Formosa,Formosa,"SÍ, TODO EL BARRIO",BAJA,34,Formosa,34014,Formosa,340142018,0.02989072280288,-26.20409,-58.234473
Formosa,Formosa,Villa del Carmen,"SÍ, SÓLO EN UN SECTOR DEL BARRIO",BAJA,34,Formosa,34014,Formosa,340140502,0.02020223771448,-26.278603,-58.276394
Formosa,Formosa,Villa del Carmen,"SÍ, SÓLO EN UN SECTOR DEL BARRIO",BAJA,34,Formosa,34014,Formosa,340140502,0.01120049513859,-26.279392,-58.277796
Formosa,Formosa,Villa del Carmen,"SÍ, SÓLO EN UN SECTOR DEL BARRIO",BAJA,34,Formosa,34014,Formosa,340140502,0.00847538189883,-26.280762,-58.258078
Formosa,Formosa,Villa del Carmen,"SÍ, TODO EL BARRIO",MEDIA,34,Formosa,34014,Formosa,340140502,0.10054921605793,-26.275069,-58.269566
Formosa,Formosa,Villa del Carmen,"SÍ, TODO EL BARRIO",ALTA,34,Formosa,34014,Formosa,340140605,0.01208422683602,-26.252581,-58.261883
Formosa,Formosa,Formosa,"SÍ, SÓLO EN UN SECTOR DEL BARRIO",MEDIA,34,Formosa,34014,Formosa,340142027,0.01899147963609,-26.195749,-58.225659
Formosa,Formosa,Formosa,"SÍ, SÓLO EN UN SECTOR DEL BARRIO",MEDIA,34,Formosa,34014,Formosa,340140602,0.00288241855869,-26.195421,-58.246601
Formosa,Formosa,Formosa,"SÍ, SÓLO EN UN SECTOR DEL BARRIO",MEDIA,34,Formosa,34014,Formosa,340140602,0.00281209264333,-26.194463,-58.246919
Formosa,Formosa,Formosa,"SÍ, TODO EL BARRIO",ALTA,34,Formosa,34014,Formosa,340141626,0.03385284684735,-26.165244,-58.190916
Formosa,Formosa,Formosa,"SÍ, TODO EL BARRIO",ALTA,34,Formosa,34014,Formosa,340140207,0.01204713718988,-26.174973,-58.166203
Formosa,Formosa,Formosa,"SÍ, SÓLO EN UN SECTOR DEL BARRIO",MEDIA,34,Formosa,34014,Formosa,340142210,0.41936932530476,-26.137702,-58.154679
Formosa,Formosa,Formosa,"SÍ, SÓLO EN UN SECTOR DEL BARRIO",SIN DATO,34,Formosa,34014,Formosa,340140221,0.02174429516035,-26.152096,-58.180402
Formosa,Formosa,Formosa,"SÍ, TODO EL BARRIO",BAJA,34,Formosa,34014,Formosa,340142119,0.05521849990817,-26.20986,-58.215353
Formosa,Formosa,Formosa,"SÍ, SÓLO EN UN SECTOR DEL BARRIO",MEDIA,34,Formosa,34014,Formosa,340140309,0.00656141063178,-26.196546,-58.169018
Formosa,Formosa,Formosa,"SÍ, SÓLO EN UN SECTOR DEL BARRIO",MEDIA,34,Formosa,34014,Formosa,340140419,0.00320271687628,-26.196366,-58.170612
Formosa,Formosa,Formosa,"SÍ, SÓLO EN UN SECTOR DEL BARRIO",MEDIA,34,Formosa,34014,Formosa,340140419,0.00364017496121,-26.19768,-58.17243
Formosa,Formosa,Formosa,"SÍ, SÓLO EN UN SECTOR DEL BARRIO",SIN DATO,34,Formosa,34014,Formosa,340140417,0.05670775121128,-26.200996,-58.180586
Formosa,Formosa,Formosa,"SÍ, TODO EL BARRIO",ALTA,34,Formosa,34014,Formosa,340140418,0.041882002,-26.200193,-58.176899
Formosa,Formosa,Formosa,"SÍ, SÓLO EN UN SECTOR DEL BARRIO",MEDIA,34,Formosa,34014,Formosa,340141716,0.01622155888178,-26.154134,-58.158428
Formosa,Formosa,Formosa,"SÍ, TODO EL BARRIO",ALTA,34,Formosa,34014,Formosa,340141623,0.05161628489413,-26.15722,-58.195075
Formosa,Pilcomayo,Clorinda,"SÍ, SÓLO EN UN SECTOR DEL BARRIO",SIN DATO,34,Formosa,34049,Pilcomayo,340490302,0.02407390668531,-25.319699,-57.72824
Formosa,Pilcomayo,Clorinda,"SÍ, SÓLO EN UN SECTOR DEL BARRIO",ALTA,34,Formosa,34049,Pilcomayo,340490125,0.03048167939224,-25.301543,-57.714212
Formosa,Pilcomayo,Clorinda,"SÍ, SÓLO EN UN SECTOR DEL BARRIO",SIN DATO,34,Formosa,34049,Pilcomayo,340490121,0.09781502337335,-25.307747,-57.700929
Formosa,Pilcomayo,Clorinda,"SÍ, TODO EL BARRIO",BAJA,34,Formosa,34049,Pilcomayo,340490127,0.18908200149193,-25.274362,-57.730474
Formosa,Pilcomayo,Clorinda,"SÍ, TODO EL BARRIO",ALTA,34,Formosa,34049,Pilcomayo,340490303,0.23956135054132,-25.326017,-57.703633
Formosa,Pilcomayo,Clorinda,"SÍ, SÓLO EN UN SECTOR DEL BARRIO",MEDIA,34,Formosa,34049,Pilcomayo,340490127,0.04176294278074,-25.265259,-57.735569
Formosa,Pilcomayo,Clorinda,"SÍ, TODO EL BARRIO",BAJA,34,Formosa,34049,Pilcomayo,340490115,0.2920505664774,-25.297546,-57.71022
Formosa,Pirané,Pirané,"SÍ, SÓLO EN UN SECTOR DEL BARRIO",ALTA,34,Formosa,34056,Pirané,340561102,0.09637396693049,-25.72624,-59.097676
Formosa,Pirané,Pirané,"SÍ, TODO EL BARRIO",ALTA,34,Formosa,34056,Pirané,340561109,0.34008561350067,-25.724217,-59.114389
Formosa,Pirané,Pirané,"SÍ, TODO EL BARRIO",ALTA,34,Formosa,34056,Pirané,340561105,0.13896939827039,-25.728447,-59.11541
Formosa,Pirané,Pirané,"SÍ, SÓLO EN UN SECTOR DEL BARRIO",ALTA,34,Formosa,34056,Pirané,340561116,0.03363915705743,-25.728593,-59.12146
Formosa,Pirané,Pirané,"SÍ, SÓLO EN UN SECTOR DEL BARRIO",SIN DATO,34,Formosa,34056,Pirané,340561110,0.00966682151796,-25.733577,-59.116668
Formosa,Pirané,Pirané,"SÍ, SÓLO EN UN SECTOR DEL BARRIO",MEDIA,34,Formosa,34056,Pirané,340561110,0.01931019012817,-25.732306,-59.118518
Formosa,Pirané,Pirané,"SÍ, SÓLO EN UN SECTOR DEL BARRIO",ALTA,34,Formosa,34056,Pirané,340561117,0.04307494371411,-25.733706,-59.1227
