Año de registro,Código de departamento,habitantes,nacidos vivos,Defunciones totales,Defunciones de menores de 1 año,Defunciones neonatales,Defunciones de menores de 1 año posneonatales,Defunciones de 1 a 4 años,Defunciones de 5 a 14 años,Defunciones de 15 a 64 años,Defunciones de 65 años y más,Defunciones maternas,Código de provincia,Nombre de provincia,Código de departamentos/circ.elec.,Nombre de departamentos/comuna,Población total,Total de hogares,Latitud del centroide,Longitud del centroide,Superficie en km2
2010,02001,104882,1695,1208,14,9,5,2,2,182,1008,0,02,Ciudad Autónoma de Buenos Aires,02001,Circunscripción electoral 1,90750,31352,-34.640026,-58.484564,6.967483443
2010,02002,93881,1950,873,24,13,11,2,8,215,623,0,02,Ciudad Autónoma de Buenos Aires,02002,Circunscripción electoral 2,78766,24688,-34.64579,-58.402711,8.014382736
2010,02003,73219,1076,807,10,8,2,0,1,163,633,0,02,Ciudad Autónoma de Buenos Aires,02003,Circunscripción electoral 3,64937,22258,-34.639791,-58.38144,5.9611436444128
2010,02004,58503,1107,497,8,6,2,2,6,113,368,0,02,Ciudad Autónoma de Buenos Aires,02004,Circunscripción electoral 4,52359,17631,-34.638458,-58.364844,3.8616887479195
2010,02005,169699,2333,1949,13,11,2,0,2,283,1650,0,02,Ciudad Autónoma de Buenos Aires,02005,Circunscripción electoral 5,162109,59209,-34.627537,-58.459306,8.3810207961217
2010,02006,126777,1578,1330,5,3,2,2,0,194,1129,0,02,Ciudad Autónoma de Buenos Aires,02006,Circunscripción electoral 6,118950,46275,-34.624114,-58.428853,4.751177215
2010,02007,136237,1648,1354,7,4,3,0,1,178,1168,0,02,Ciudad Autónoma de Buenos Aires,02007,Circunscripción electoral 7,125490,51138,-34.609131,-58.432386,4.165769619
2010,02008,60347,830,616,5,2,3,0,0,106,505,0,02,Ciudad Autónoma de Buenos Aires,02008,Circunscripción electoral 8,56093,21357,-34.624313,-58.403743,2.5175541622953
2010,02009,96671,1463,847,6,4,2,1,1,163,676,0,02,Ciudad Autónoma de Buenos Aires,02009,Circunscripción electoral 9,85109,34220,-34.608847,-58.411574,2.9043858381498
2010,02010,46865,543,528,1,1,0,0,1,106,419,0,02,Ciudad Autónoma de Buenos Aires,02010,Circunscripción electoral 10,41677,17759,-34.614056,-58.398499,1.1548881080818
2010,02011,51685,645,503,4,3,1,3,1,91,403,0,02,Ciudad Autónoma de Buenos Aires,02011,Circunscripción electoral 11,45474,19038,-34.6048,-58.399048,1.3459380898359
2010,02012,50561,702,550,13,12,1,1,2,98,436,0,02,Ciudad Autónoma de Buenos Aires,02012,Circunscripción electoral 12,43998,18033,-34.621907,-58.379259,2.1700988558088
2010,02013,49969,708,512,8,3,5,2,2,96,403,0,02,Ciudad Autónoma de Buenos Aires,02013,Circunscripción electoral 13,42902,18208,-34.612931,-58.379468,2.3916544723161
2010,02014,34328,418,410,4,3,1,1,1,74,330,0,02,Ciudad Autónoma de Buenos Aires,02014,Circunscripción electoral 14,28667,12623,-34.603668,-58.380514,2.289465547
2010,02015,122031,1591,1226,8,5,3,2,1,220,993,0,02,Ciudad Autónoma de Buenos Aires,02015,Circunscripción electoral 15,110465,39417,-34.591973,-58.461396,8.7662620521999
2010,02016,133311,1845,1274,3,2,1,1,2,193,1075,0,02,Ciudad Autónoma de Buenos Aires,02016,Circunscripción electoral 16,115058,46462,-34.547206,-58.45379,9.7929471291428
2010,02017,194006,2308,1791,15,10,5,2,2,254,1518,0,02,Ciudad Autónoma de Buenos Aires,02017,Circunscripción electoral 17,174944,68522,-34.570012,-58.436924,12.514386090302
2010,02018,186567,2107,1628,14,10,4,3,1,225,1384,0,02,Ciudad Autónoma de Buenos Aires,02018,Circunscripción electoral 18,165679,68911,-34.583065,-58.420964,8.3977431984153
2010,02019,175952,1738,1694,13,10,3,3,3,205,1469,0,02,Ciudad Autónoma de Buenos Aires,02019,Circunscripción electoral 19,157392,68906,-34.589291,-58.401099,4.4717558548475
2010,02020,76970,1397,672,4,4,0,3,2,116,547,0,02,Ciudad Autónoma de Buenos Aires,02020,Circunscripción electoral 20,66406,25402,-34.58573,-58.379877,7.7668988286906
2010,02021,118702,1848,1533,13,10,3,3,4,260,1251,0,02,Ciudad Autónoma de Buenos Aires,02021,Circunscripción electoral 21,111944,38148,-34.652379,-58.508009,12.366438444105
2010,02022,193971,4355,1477,34,19,15,5,6,394,1037,1,02,Ciudad Autónoma de Buenos Aires,02022,Circunscripción electoral 22,166244,47572,-34.675829,-58.466275,20.188374813984
2010,02023,147814,3273,1259,30,16,14,6,3,275,944,1,02,Ciudad Autónoma de Buenos Aires,02023,Circunscripción electoral 23,129712,39256,-34.649126,-58.437232,12.924261769823
2010,02024,101449,1363,1091,10,5,5,0,0,160,921,0,02,Ciudad Autónoma de Buenos Aires,02024,Circunscripción electoral 24,94721,31839,-34.624041,-58.508346,7.9888184736193
2010,02025,108032,1189,1167,6,5,1,0,1,162,998,0,02,Ciudad Autónoma de Buenos Aires,02025,Circunscripción electoral 25,100618,34326,-34.604921,-58.509871,8.6795145709869
2010,02026,120356,1505,1308,8,5,3,3,4,219,1074,0,02,Ciudad Autónoma de Buenos Aires,02026,Circunscripción electoral 26,119408,41668,-34.603391,-58.478512,9.0594592381649
2010,02027,92384,1291,1106,11,8,3,1,5,131,957,0,02,Ciudad Autónoma de Buenos Aires,02027,Circunscripción electoral 27,90382,31603,-34.577566,-58.49937,6.8405916869807
2010,02028,133140,1733,1294,6,6,0,0,1,187,1100,0,02,Ciudad Autónoma de Buenos Aires,02028,Circunscripción electoral 28,134995,48446,-34.55905,-58.481605,10.189423857772
2010,06007,16329,192,181,1,0,1,0,1,40,139,0,06,Buenos Aires,06007,Adolfo Alsina,16245,5441,-37.19715,-63.055734,5881.6016818426
2010,06014,12111,157,118,1,1,0,1,0,19,95,0,06,Buenos Aires,06014,Adolfo Gonzales Chaves,12037,3872,-37.964953,-60.248503,3787.3253021622
2010,06021,10487,165,122,0,0,0,0,0,25,97,0,06,Buenos Aires,06021,Alberti,10373,3429,-35.037399,-60.281935,1120.8296510606
2010,06028,581268,10607,4041,128,86,42,18,18,1105,2765,4,06,Buenos Aires,06028,Almirante Brown,515556,133787,-34.835652,-58.367491,129.09955004521
