Año de registro,Código de departamento,habitantes,nacidos vivos,Defunciones totales,Defunciones de menores de 1 año,Defunciones neonatales,Defunciones de menores de 1 año posneonatales,Defunciones de 1 a 4 años,Defunciones de 5 a 14 años,Defunciones de 15 a 64 años,Defunciones de 65 años y más,Defunciones maternas,Código de provincia,Nombre de provincia,Código de departamentos/comuna,Nombre de departamentos/comuna,Población total,Total de hogares,Latitud del centroide,Longitud del centroide,Superficie en km2
2015,02001,250770,3254,2001,24,19,5,5,13,403,1556,0,02,Ciudad Autónoma de Buenos Aires,02001,Comuna 1,205886,84468,-34.606365,-58.371709,17.774343610998
2015,02002,149985,1755,1704,7,6,1,3,3,210,1481,0,02,Ciudad Autónoma de Buenos Aires,02002,Comuna 2,157932,73156,-34.585876,-58.394997,6.2761484446208
2015,02003,192375,2549,1961,14,12,2,3,2,333,1609,0,02,Ciudad Autónoma de Buenos Aires,02003,Comuna 3,187537,80489,-34.613826,-58.402686,6.3860399512473
2015,02004,237769,3985,1969,28,16,12,2,5,447,1486,2,02,Ciudad Autónoma de Buenos Aires,02004,Comuna 4,218245,76455,-34.642292,-58.38886,21.694409834743
2015,02005,186512,2081,1921,14,11,3,1,3,269,1634,0,02,Ciudad Autónoma de Buenos Aires,02005,Comuna 5,179005,76846,-34.617353,-58.420607,6.6597992407272
2015,02006,184363,2086,1843,12,8,4,2,4,269,1555,1,02,Ciudad Autónoma de Buenos Aires,02006,Comuna 6,176076,75189,-34.616826,-58.443603,6.8509481740965
2015,02007,239597,3702,2203,22,16,6,5,5,422,1748,1,02,Ciudad Autónoma de Buenos Aires,02007,Comuna 7,220591,81483,-34.63654,-58.451924,12.425128513625
2015,02008,224770,4002,1484,30,26,4,4,7,387,1056,1,02,Ciudad Autónoma de Buenos Aires,02008,Comuna 8,187237,58204,-34.674505,-58.462084,22.301591470819
2015,02009,170087,2441,1779,16,9,7,1,2,327,1433,0,02,Ciudad Autónoma de Buenos Aires,02009,Comuna 9,161797,56495,-34.651716,-58.499097,16.502346818172
2015,02010,170037,2050,1906,12,8,4,3,4,279,1608,0,02,Ciudad Autónoma de Buenos Aires,02010,Comuna 10,166022,61453,-34.627828,-58.502834,12.639610477106
2015,02011,189925,2199,2053,11,3,8,3,0,290,1748,0,02,Ciudad Autónoma de Buenos Aires,02011,Comuna 11,189832,71460,-34.606116,-58.496823,14.091316091303
2015,02012,213218,2540,2090,8,7,1,1,2,320,1758,0,02,Ciudad Autónoma de Buenos Aires,02012,Comuna 12,200116,78547,-34.566312,-58.490417,15.56394525
2015,02013,235666,2753,2291,13,9,4,3,4,260,2011,0,02,Ciudad Autónoma de Buenos Aires,02013,Comuna 13,231331,100506,-34.554661,-58.454147,14.578360412279
2015,02014,226821,2835,2135,15,11,4,0,0,257,1862,1,02,Ciudad Autónoma de Buenos Aires,02014,Comuna 14,225970,102918,-34.573901,-58.422436,15.774189881943
2015,02015,182372,2317,1863,10,7,3,2,5,309,1536,0,02,Ciudad Autónoma de Buenos Aires,02015,Comuna 15,182574,72465,-34.591865,-58.462809,14.322755759084
2015,06007,17356,207,207,0,0,0,0,2,33,168,0,06,Buenos Aires,06007,Adolfo Alsina,17072,6237,-37.19715,-63.055734,5881.6016818426
2015,06014,12040,199,151,0,0,0,3,0,29,117,1,06,Buenos Aires,06014,Adolfo Gonzales Chaves,12047,4199,-37.964953,-60.248503,3787.3253021622
2015,06021,10875,156,113,0,0,0,1,2,20,88,0,06,Buenos Aires,06021,Alberti,10654,3828,-35.037399,-60.281935,1120.8296510606
2015,06028,578513,10560,4403,99,67,32,12,20,1172,3055,2,06,Buenos Aires,06028,Almirante Brown,552902,156918,-34.835652,-58.367491,129.09955004521
2015,06077,30326,494,274,4,3,1,0,0,56,213,0,06,Buenos Aires,06077,Arrecifes,29044,9546,-34.011969,-60.062255,1241.310341
2015,06035,351165,5733,3783,66,50,16,8,19,827,2846,1,06,Buenos Aires,06035,Avellaneda,342677,113142,-34.677494,-58.341212,57.205727694956
2015,06042,20911,362,215,1,0,1,0,0,45,169,0,06,Buenos Aires,06042,Ayacucho,20337,6967,-37.035506,-58.442178,6752.832617
2015,06049,66782,1067,645,5,5,0,2,7,121,502,0,06,Buenos Aires,06049,Azul,65280,22020,-36.786351,-59.696285,6531.6422961007
2015,06056,307250,4981,3003,52,39,13,6,12,590,2312,4,06,Buenos Aires,06056,Bahía Blanca,301572,105342,-38.584442,-62.169171,2282.9893890351
2015,06063,44966,725,436,2,2,0,0,2,77,353,0,06,Buenos Aires,06063,Balcarce,43823,14720,-37.71478,-58.271428,4124.2871550325
2015,06070,34710,586,306,5,3,2,0,2,84,203,0,06,Buenos Aires,06070,Baradero,32761,10416,-33.933493,-59.492828,1522.1592925498
